Title,Location,Name,Relationship,Date,Source,Reference
"Lamb Inn & Store, Yan Yean",Yan Yean South (Vic.),Abbott,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 253"
"Morrells Junction, Mooroopna",Mooroopna (Vic.),Allen,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 207"
"Rose & Crown, Ballarat",Peel St (Ballarat Vic.),"Arthur, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 39"
"Commercial Hotel & Post Office & Store, Indigo",Indigo (Vic.),"Ashdown, James",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 236"
"Royal, Rupanyup",Rupanyup (Vic.),"Ashmore, George Charles",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 118"
"Royal, Mansfield",Mansfield (Vic.),"Baldry, C C",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 133"
"Woolpack, Barkly",Barkly (Vic.),"Barker, Peter",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 125"
"Limerick Castle, Ballarat",Bridge St (Ballarat Vic.),"Barney, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 7"
"McIvor, Maryborough",Maryborough (Vic.),"Barrett, Henry Harling",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 223"
"Court House, Kyneton",Hutton St (Kyneton Vic.),"Barry, P",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 353"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Bazley,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 205"
"Union, Ballarat",Humffray St (Ballarat Vic.),"Beckman, H",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 29"
"Coleraine, Coleraine",Whyte St (Coleraine Vic.),"Bell, Richardson",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 134"
"Royal Standard, Linton",Suffolk St (Linton Vic.),Bell,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 56"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Bell,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 205"
"Red Bull, Ballarat",Humffray St (Ballarat Vic.),Bellinger,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 31"
"Dudley Castle, Ballarat",Barkly St (Ballarat Vic.),Bennett,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 25"
"Rokewood, Rokewood",Rokewood (Vic.),Bennett,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 100"
"Eureka, Ballarat",Armstrong St (Ballarat Vic.),Bentley,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 3"
"White Horse, Ballarat",Main Rd (Ballarat Vic.),"Betts, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 19"
"Cosomopolitan, Ballarat",Humffray St (Ballarat Vic.),"Betts, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 29"
"Windsor Arms, Ballarat",Armstrong St (Ballarat Vic.),"Bextream, Annie",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 1"
"Rainbow, Ballarat",Grant St (Ballarat Vic.),"Beyer, Annie",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 15"
"George, Ballarat",Lydiard St (Ballarat Vic.),"Bignall, Wm",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 34"
"Avenal Arms, Hughes Creek",Hughes Creek (Vic.),"Bignell, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 65"
"Royal Mail, Mooroopna",corner Main & Archer Sts (Mooroopna Vic.),Birch,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 209"
"Commercial, Stawell",Stawell (Vic.),"Blackburn, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 246"
"Excelsior, Ballarat",Dana St (Ballarat Vic.),"Blackett, T",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 10"
"Britannia, Ballarat",Bridge St (Ballarat Vic.),"Blythen, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 5"
"Railway, Euroa",Euroa (Vic.),"De Boos, C L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 32"
"Bakery Hill, Ballarat",Humffray St (Ballarat Vic.),"Bourke, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 31"
"Macs, Portland",Portland (Vic.),"Bowden, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 6"
"Merino Inn, Mosquito Flat",Mosquito Flat (Vic.),"Bowden, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 6"
"Soho, Ballarat",Urquhart St (Ballarat Vic.),"Bowes, Jessie",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 53"
"Blue Bell, St Arnaud",Melbourne Rd (St Arnaud Vic.),"Box , Daniel",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 229"
"St Andrew, Ballarat",Armstrong St (Ballarat Vic.),"Boyd, Wm",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 1"
"Copenhagen, Ballarat",Sturt St (Ballarat Vic.),Boyd & Prescott,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 51"
"Lake Wallace, Edenhope",Edenhope (Vic.),"Boyton, Chas Robt",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 356"
"Liverpool Arms, Ballarat",Victoria St (Ballarat Vic.),"Brabner, Cath",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 55"
"Carriers Arms, Craigieburn",Craigieburn (Vic.),"Bradley, Edward",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 169"
"Corduroy Bridge Hotel & P O, Clarendon",Clarendon (Vic.),"Bradshaw, Henry John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 85"
"Consols, Ballarat",Skipton St (Ballarat Vic.),"Brady, J E",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 44"
"Grange Family, Hamilton",Hamilton (Vic.),Brake,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 162"
"Cattle Yards Inn, Alfredton",Ballarat Alfredton (Vic.),"Brazenor, W",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 60"
"Esplanade, Inverloch",Inverloch (Vic.),"Brook, Richard D",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 252"
"Farmers Rest, Warrnambool",Fairy St (Warrnambool Vic.),"Brooker, Chas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 139"
"Stag, Port Fairy",Port Fairy (Vic.),"Brown, A J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 33"
"Castle, Raspberry Creek",Raspberry Creek (Vic.),"Brown, L Jas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 69"
"British, Bowmans Forest",Bowmans Forest (Vic.),"Brown, Thomas Hince",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 253"
"Marramingo, Genoa River",Genoa River (Vic.),"Buckland, B H",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 79"
"Railway, Ballan",Ballan (Vic.),"Bull, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 108"
"Freemasons, Ballan",Inglis St (Ballan Vic.),"Bull, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 110"
"Quartz Miners, Stawell",Stawell (Vic.),"Burnside, J",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 257"
"London, Portland",corner Bentinck & Julia Sts (Portland Vic.),"Bush, Timothy",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 41"
"Seymour, Seymour",Sydney Rd (Seymour Vic.),"Butler, Jas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 174"
"Caledonian, Yea",High St (Yea Vic.),"Cairns, John William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 274"
"Bay View, Portarlington",Portarlington (Vic.),"Calhoun, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 25"
"Family, Portarlington",Portarlington (Vic.),"Calhoun, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 26"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Caligari,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 205"
"Fleece Inn, Condah",Condah (Vic.),"Cameron, Ewan",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 139"
"Fleece Inn, Green Hills",Green Hills (Vic.),"Cameron, Ewan",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 139"
"Tri Bhean, Glen Watts",Glen Watts (Vic.),Cameron,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 104"
"Post Office, Beechworth",Camp St (Beechworth Vic.),"Carkeek, A",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 171"
"Countess, Ballarat",Victoria St (Ballarat Vic.),"Carroll, T",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 56"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Carroll,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 205"
"Seven Creeks Hotel & Store, Kialla West",Euroa Kialla West (Vic.),"Casement, Witt",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 36"
"Straffordshire Arms, Ballarat",Main Rd (Ballarat Vic.),"Casey, R",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 22"
"White Hart, Ballarat",Sturt St (Ballarat Vic.),"Chaplin, Dr",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 46"
"Metropolitan, Castlemaine",Mostyn St (Castlemaine Vic.),"Chapman, James",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 36"
"Carngham Inn, Carngham",Carngham (Vic.),Chepstowe,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 362"
"Eureka, Ballarat",Otway St (Ballarat Vic.),Cherry,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 27"
"Elephant & Castle, Ballarat",Lydiard St (Ballarat Vic.),Chidlows,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 34"
"Royal, Rupanyup",Rupanyup (Vic.),"Claringbold, Jane Lilian",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 118"
"Vine, Ballarat",Lydiard St (Ballarat Vic.),"Clark, M",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 32"
"Roseberry, Roseberry",Roseberry (Vic.),"Clark, Robert",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 102"
"Carriers Arms, Ballarat",Skipton St (Ballarat Vic.),"Clarke, R",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 43"
"Ross Bridge, Rossbridge",Ross Bridge (Vic.),"Clarke, Thomas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 114"
"New Scotch, Ballarat",Mair St (Ballarat Vic.),"Cleaver, Fanny",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 35"
"Prince Albert, Lockwood",Lockwood (Vic.),"Clements, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 62"
"La Mascotte, Castlemaine",corner Hargreaves & Mostyn Sts (Castlemaine Vic.),Cleverly,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 35"
"Waaia, Waaia",Waaia (Vic.),"Cochran, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 61"
"Stag & Hound, Ballarat",Ballarat (Vic.),"Cochrane, A",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 62"
"Scotchmans Arms, Ballarat",Durham St (Ballarat Vic.),"Collins, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 25"
"Railway, East Murchison",Murchison East (Vic.),"Collins, Rita Victoria",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 262"
"Victorian Alps, Macedon",Macedon (Vic.),"Collins, Annie",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 90"
"Bridge, Dargo",Dargo (Vic.),"Coloe, P",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 202"
"St Leonards, St Leonards",St Leonards (Vic.),Copperwaite,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 234"
"Commercial, Kyneton",corner Mollison & Yaldwin Sts (Kyneton Vic.),Coulson,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 352"
"St Leonards, St Leonards",St Leonards (Vic.),Coulthard,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 234"
"Clunes, Clunes North",Clunes North (Vic.),"Coundon, Ralph",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 96"
"Dairy & Ice Works, Rushworth",Rushworth (Vic.),Coyle,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 188"
"Warrnambool, Warrnambool",corner Banyan & Merri Sts (Warrnambool South Vic.),"Craig, John H",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 159"
"Balaclava, Whroo",Whroo (Vic.),"Crawford, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 188"
"Royal, Wangaratta",Wangaratta (Vic.),Crisp,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 105"
"Royal, Kyneton",Kyneton (Vic.),Crocker,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 360"
"Woolpack, Bacchus Marsh",Bacchus Marsh (Vic.),"Crooke, E J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 86"
"Leura, Camperdown",Camperdown (Vic.),"Crosby, Thomas R",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 341"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Crutchley,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 205"
"Golden Fleece, Charlton",Charlton (Vic.),"Curtin, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 56"
"Victoria, Benalla",Benalla (Vic.),"Darmody, M",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 197"
"Victoria, Warrnambool",corner Liebig & Lava Sts (Warrnambool Vic.),"Davies, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 153"
"Western, Warrnambool",Warrnambool (Vic.),"Davies, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 155"
"All Nations, Red Hill",Blackwood Red Hill (Vic.),Davis,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 235"
"All Nations, Barramunga",Barramunga Red Hill (Vic.),Davis,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 136"
"All Nations, Red Hill",Red Hill (Vic.),Davis,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 139"
"Clarkes, Ballarat",Sturt St (Ballarat Vic.),"Dawson, Eliiza",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 47"
"Shearers Arms, Newtown",Western Rd (Geelong Newtown Vic.),"Day, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 13, page 4"
"Ancient Briton, Ballarat",Main Rd (Ballarat Vic.),"Day, A",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 19"
"Railway, Euroa",Euroa (Vic.),"De Boos, C L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 32"
"King Parrot, Drouin South",Drouin South (Vic.),"Dempsey, William",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 288"
"Belmont, Thomastown",Thomastown Dry Creek (Vic.),"Devine, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 352"
"North Eastern, Benalla",Benalla (Vic.),"Dewane, E",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 186"
"Railway, Baddaginnie",Baddaginnie (Vic.),"Dewart, John H",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 92"
"Criterion, Sale",corner York & Macalister Sts (Sale Vic.),"Dickens, N",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 140"
"Robin Hood, Drouin West ( Vic. -- Hotels -- Robin Hood",Drouin West ( Vic.,"Dickson, Henry",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 6, page 290"
"Harp of Erin, Kyneton",Piper St (Kyneton Vic.),"Dixon, D",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 355"
"Imperial, Ballarat",Armstrong St (Ballarat Vic.),"Dobbyn, F J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 3"
"Royal Victoria, Wangaratta",Faithful St (Wangaratta Vic.),"Dodsworth, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 10, page 107"
"Grand Terminus, Bairnsdale",Bairnsdale (Vic.),"Donald, Thomas Frederick",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 100"
"Donegans, Ballarat",Victoria St (Ballarat Vic.),Donegan,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 56"
"Railway, Ballarat",Wills St (Ballarat Vic.),"Dooley, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 57"
"Foresters Inn, Harrow",Harrow (Vic.),"Doughney, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 174"
"Criterion, Rochester",corner Mackay & Gillies Sts (Rochester Vic.),"Downey, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 89"
"Mt Egerton, Mount Egerton",Mount Egerton (Vic.),"Downey, John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 245"
"Myrniong, Myrniong",Myrniong (Vic.),"Druary, William F",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 279"
"Victorian, Byrneside",Byrneside (Vic.),"Dunn, Joseph L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 326"
"Grand National, Ballarat",Armstrong St (Ballarat Vic.),"Dwyer, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 3"
"Exchange, Foster",Foster (Vic.),"Edwards, L",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 7, page 50"
"Lancefield Hotel & Store, Mooroopna",Mooroopna (Vic.),Elder,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 204"
"Port Phillip, Ballarat",Doveton St (Ballarat Vic.),"Emery, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 13"
"Half-way House, Ballarat",Skipton St (Ballarat Vic.),"Fancy, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 44"
"Post Office, Ballarat",Magpie St (Ballarat Vic.),"Farmer, G",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 38"
"Lillimur, Lillimur",Lillimur (Vic.),"Fay, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 47"
"Shamrock, Sale",Pearson St (Sale Vic.),"Feely, Michael",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 149"
"Grand Terminus, Bairnsdale",Bairnsdale (Vic.),"Feinberg, Margaret Mary",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 100"
"Prince of Wales, Ballarat",Grenville St (Ballarat Vic.),"Finworth, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 65"
"Marysville, Marysville",Marysville (Vic.),Fisher,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 151"
"Woolpack, Sale",Sale (Vic.),"Fitchett, R",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 9, page 146"
"Railway, Bannockburn",Bannockburn (Vic.),"Flahive, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 116"
"Fawn, Ballarat",Sturt St (Ballarat Vic.),"Flannery, Norah",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 45"
"Macs, Mortlake",Dunlop St (Mortlake Vic.),"Fogarty, Andrew",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 226"
"Halfway House Hotel Store & Post Office, Carron",Carron (Vic.),"Franklin, Frederick",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 5, page 366"
"British American, Maldon",Maldon (Vic.),"Friedlieb, Rudolph",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 106"
"Commercial, Mansfield",High St (Mansfield Vic.),"Gardner, T J",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 130"
"Delatite, Mansfield",Mansfield (Vic.),"Gardner, T J",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 8, page 131"
"Northumberland, Ballarat",Sturt St (Ballarat Vic.),Gargan,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949","Reference: Volume 11, page 46"
